年份,行业代码,行业名称,指标,均值,样本量
2013,D,电力热力燃气,TE（净资产，元）,9890053358.80739,69
2013,G,交通运输,SLoan（短期借款比率）,0.07199588748980294,202
2013,G,交通运输,LLoan（长期借款比率）,0.02328513550604696,202
2013,G,交通运输,Lev（总负债率）,0.34256468912114785,202
2013,G,交通运输,Cash（现金比率）,0.00426415273114976,202
2013,G,交通运输,TA（总资产，元）,6466331139.344678,201
2013,G,交通运输,TE（净资产，元）,2886147534.0511937,201
2013,E,建筑业,SLoan（短期借款比率）,0.11051415542783576,55
2013,E,建筑业,LLoan（长期借款比率）,0.09268646420515096,55
2013,E,建筑业,Lev（总负债率）,0.6999589221393884,55
2013,E,建筑业,Cash（现金比率）,0.0030089799848345353,55
2013,E,建筑业,TA（总资产，元）,69716515201.028,55
2013,E,建筑业,TE（净资产，元）,13277357839.228363,55
2013,K,房地产业,SLoan（短期借款比率）,0.0778476781564233,70
2013,K,房地产业,LLoan（长期借款比率）,0.06280803207336434,70
2013,K,房地产业,Lev（总负债率）,0.4271480780204403,70
2013,K,房地产业,Cash（现金比率）,0.00031414764063720146,70
2013,K,房地产业,TA（总资产，元）,7572976496.315,70
2013,K,房地产业,TE（净资产，元）,3251480913.1168566,70
2013,F,批发零售,SLoan（短期借款比率）,0.07505712056831439,80
2013,F,批发零售,LLoan（长期借款比率）,0.11593391094573642,80
2013,F,批发零售,Lev（总负债率）,0.47545719628752625,80
2013,F,批发零售,Cash（现金比率）,0.004226786705065903,80
2013,F,批发零售,TA（总资产，元）,24124557602.6045,80
2013,F,批发零售,TE（净资产，元）,9983936931.989874,79
2013,J,金融业,SLoan（短期借款比率）,0.07093808217510256,70
2013,J,金融业,LLoan（长期借款比率）,0.16573397466108905,70
2013,J,金融业,Lev（总负债率）,0.6415116331888348,70
2013,J,金融业,Cash（现金比率）,0.002900658955180934,70
2013,J,金融业,TA（总资产，元）,28792172162.90971,70
2013,J,金融业,TE（净资产，元）,7578431899.372287,70
2015,C,制造业,SLoan（短期借款比率）,0.10232879336347993,1802
2015,C,制造业,LLoan（长期借款比率）,0.031095004256114264,1802
2015,C,制造业,Lev（总负债率）,0.40360025114354026,1802
2015,C,制造业,Cash（现金比率）,0.00325272479613358,1802
2015,C,制造业,TA（总资产，元）,8698634929.378485,1801
2015,C,制造业,TE（净资产，元）,3770641407.295838,1795
2015,D,电力热力燃气,SLoan（短期借款比率）,0.09342126752053186,73
2015,D,电力热力燃气,LLoan（长期借款比率）,0.16347547002865095,73
2015,D,电力热力燃气,Lev（总负债率）,0.5529092909659339,73
2015,D,电力热力燃气,Cash（现金比率）,0.003561710346156676,73
2015,D,电力热力燃气,TA（总资产，元）,36700412886.39603,73
2015,D,电力热力燃气,TE（净资产，元）,13000596695.069452,73
2015,G,交通运输,SLoan（短期借款比率）,0.07273623997604653,206
2015,G,交通运输,LLoan（长期借款比率）,0.02804764022191501,206
2015,G,交通运输,Lev（总负债率）,0.3791421019322589,206
2015,G,交通运输,Cash（现金比率）,0.0032373075220438305,206
2015,G,交通运输,TA（总资产，元）,8534927889.098543,206
2015,G,交通运输,TE（净资产，元）,3892321058.8282046,206
2015,E,建筑业,SLoan（短期借款比率）,0.1180697767106759,64
2015,E,建筑业,LLoan（长期借款比率）,0.07162407028791558,64
2015,E,建筑业,Lev（总负债率）,0.667808005881773,64
2015,E,建筑业,Cash（现金比率）,0.0001271596870044925,64
2015,E,建筑业,TA（总资产，元）,80208988178.6089,64
2015,E,建筑业,TE（净资产，元）,17368147858.53656,64
2015,K,房地产业,SLoan（短期借款比率）,0.07808441052239377,72
2015,K,房地产业,LLoan（长期借款比率）,0.06548693471691427,72
2015,K,房地产业,Lev（总负债率）,0.47246179976138186,72
2015,K,房地产业,Cash（现金比率）,0.0012625642898554986,72
2015,K,房地产业,TA（总资产，元）,14375071555.747362,72
2015,K,房地产业,TE（净资产，元）,5627169125.44625,72
2015,F,批发零售,SLoan（短期借款比率）,0.07304664915416034,87
2015,F,批发零售,LLoan（长期借款比率）,0.1067421922511267,87
2015,F,批发零售,Lev（总负债率）,0.46545323245666065,87
2015,F,批发零售,Cash（现金比率）,0.005649971738854273,87
2015,F,批发零售,TA（总资产，元）,29699730447.88437,87
2015,F,批发零售,TE（净资产，元）,11644340697.585632,87
2015,J,金融业,SLoan（短期借款比率）,0.07279012629454362,75
2015,J,金融业,LLoan（长期借款比率）,0.1295388374542435,75
2015,J,金融业,Lev（总负债率）,0.6525466777438831,75
2015,J,金融业,Cash（现金比率）,0.017281931241438855,75
2015,J,金融业,TA（总资产，元）,60743069302.333374,74
2015,J,金融业,TE（净资产，元）,13559954709.922916,72
2017,C,制造业,SLoan（短期借款比率）,0.1200057335681326,1712
2017,C,制造业,LLoan（长期借款比率）,0.05881945762469352,1124
2017,C,制造业,Lev（总负债率）,0.38860225922627406,2280
2017,C,制造业,Cash（现金比率）,0.018791186437957647,414
2017,C,制造业,TA（总资产，元）,10342289746.610128,2278
2017,C,制造业,TE（净资产，元）,4453964940.26038,2265
2017,D,电力热力燃气,SLoan（短期借款比率）,0.13008898717008469,69
2017,D,电力热力燃气,LLoan（长期借款比率）,0.19785595777009504,70
2017,D,电力热力燃气,Lev（总负债率）,0.5631867169543434,81
2017,D,电力热力燃气,Cash（现金比率）,0.024333831752115113,14
2017,D,电力热力燃气,TA（总资产，元）,41765710250.94778,81
2017,D,电力热力燃气,TE（净资产，元）,13939405068.634323,81
2017,G,交通运输,SLoan（短期借款比率）,0.0945047829546736,167
2017,G,交通运输,LLoan（长期借款比率）,0.05550809331958338,110
2017,G,交通运输,Lev（总负债率）,0.3780491416181418,213
2017,G,交通运输,Cash（现金比率）,0.01813138618784194,33
2017,G,交通运输,TA（总资产，元）,10856070491.212772,213
2017,G,交通运输,TE（净资产，元）,5720501109.073755,213
2017,E,建筑业,SLoan（短期借款比率）,0.11406958419076317,79
2017,E,建筑业,LLoan（长期借款比率）,0.09150797065902644,64
2017,E,建筑业,Lev（总负债率）,0.6263158580907943,85
2017,E,建筑业,Cash（现金比率）,0.041028728797236826,16
2017,E,建筑业,TA（总资产，元）,81443856251.78612,85
2017,E,建筑业,TE（净资产，元）,18374338173.121765,85
2017,K,房地产业,SLoan（短期借款比率）,0.10213573789738131,54
2017,K,房地产业,LLoan（长期借款比率）,0.1096104029430787,49
2017,K,房地产业,Lev（总负债率）,0.481826207126417,72
2017,K,房地产业,Cash（现金比率）,0.009824791375863255,11
2017,K,房地产业,TA（总资产，元）,22679710552.4862,71
2017,K,房地产业,TE（净资产，元）,8091657102.904929,71
2017,F,批发零售,SLoan（短期借款比率）,0.09835592703149593,77
2017,F,批发零售,LLoan（长期借款比率）,0.12252664104162654,73
2017,F,批发零售,Lev（总负债率）,0.4548548299998476,103
2017,F,批发零售,Cash（现金比率）,0.053475002828257484,19
2017,F,批发零售,TA（总资产，元）,30437529809.666374,102
2017,F,批发零售,TE（净资产，元）,12373532771.891077,102
2017,J,金融业,SLoan（短期借款比率）,0.0794811206206243,53
2017,J,金融业,LLoan（长期借款比率）,0.13698104728973395,57
2017,J,金融业,Lev（总负债率）,0.6513377429661497,88
2017,J,金融业,Cash（现金比率）,0.07655344326866224,38
2017,J,金融业,TA（总资产，元）,137558822018.46,88
2017,J,金融业,TE（净资产，元）,20957637191.675114,88
2019,C,制造业,SLoan（短期借款比率）,0.11821579596943396,1941
2019,C,制造业,LLoan（长期借款比率）,0.059819410037253426,1322
2019,C,制造业,Lev（总负债率）,0.41263261738516877,2482
2019,C,制造业,Cash（现金比率）,0.07877340886887324,1349
2019,C,制造业,TA（总资产，元）,11736453170.252792,2473
2019,C,制造业,TE（净资产，元）,5079384038.380469,2449
2019,D,电力热力燃气,SLoan（短期借款比率）,0.11532745937449328,75
2019,D,电力热力燃气,LLoan（长期借款比率）,0.1794784710224474,77
2019,D,电力热力燃气,Lev（总负债率）,0.5572663079769788,86
2019,D,电力热力燃气,Cash（现金比率）,0.04298808770017782,26
2019,D,电力热力燃气,TA（总资产，元）,49595994347.33232,86
2019,D,电力热力燃气,TE（净资产，元）,18125177017.58541,85
2019,G,交通运输,SLoan（短期借款比率）,0.10881640340894577,183
2019,G,交通运输,LLoan（长期借款比率）,0.0673665296846148,111
2019,G,交通运输,Lev（总负债率）,0.42112003839532214,223
2019,G,交通运输,Cash（现金比率）,0.0689066705906105,124
2019,G,交通运输,TA（总资产，元）,13462636151.865335,223
2019,G,交通运输,TE（净资产，元）,6816504955.291863,220
2019,E,建筑业,SLoan（短期借款比率）,0.10757262451151296,81
2019,E,建筑业,LLoan（长期借款比率）,0.0970294675658671,73
2019,E,建筑业,Lev（总负债率）,0.6533688857091544,89
2019,E,建筑业,Cash（现金比率）,0.014546711739259779,39
2019,E,建筑业,TA（总资产，元）,100289988719.67067,89
2019,E,建筑业,TE（净资产，元）,24768475400.578312,89
2019,K,房地产业,SLoan（短期借款比率）,0.10741810500658981,63
2019,K,房地产业,LLoan（长期借款比率）,0.10609030855776216,50
2019,K,房地产业,Lev（总负债率）,0.4838183779719059,75
2019,K,房地产业,Cash（现金比率）,0.05486684196470047,31
2019,K,房地产业,TA（总资产，元）,33604750921.735188,75
2019,K,房地产业,TE（净资产，元）,11597148052.86392,74
2019,F,批发零售,SLoan（短期借款比率）,0.09188636958812292,79
2019,F,批发零售,LLoan（长期借款比率）,0.11389404427432717,74
2019,F,批发零售,Lev（总负债率）,0.45585544024009234,102
2019,F,批发零售,Cash（现金比率）,0.054384887464330095,47
2019,F,批发零售,TA（总资产，元）,36297457819.8349,102
2019,F,批发零售,TE（净资产，元）,14082786984.027943,102
2019,J,金融业,SLoan（短期借款比率）,0.054703285651259884,63
2019,J,金融业,LLoan（长期借款比率）,0.11668132920058315,60
2019,J,金融业,Lev（总负债率）,0.6889435127827312,108
2019,J,金融业,Cash（现金比率）,0.12153526480040489,76
2019,J,金融业,TA（总资产，元）,312963216298.418,107
2019,J,金融业,TE（净资产，元）,35453365715.16547,106
2021,C,制造业,SLoan（短期借款比率）,0.09706746135995406,2363
2021,C,制造业,LLoan（长期借款比率）,0.06049874998692855,1626
2021,C,制造业,Lev（总负债率）,0.39974813549597027,3167
2021,C,制造业,Cash（现金比率）,0.08539257406469038,1983
2021,C,制造业,TA（总资产，元）,12259377557.202942,3155
2021,C,制造业,TE（净资产，元）,5524004471.653337,3133
2021,D,电力热力燃气,SLoan（短期借款比率）,0.09230085113871955,91
2021,D,电力热力燃气,LLoan（长期借款比率）,0.19823651037355502,87
2021,D,电力热力燃气,Lev（总负债率）,0.5592216906603915,100
