年份,指标,均值,中位数,标准差,最小值,最大值,样本量
2013,top1,0.3586545884022708,0.3394925,0.15654468302872643,0.021969,0.894086,2466
2013,hhi5_approx,4.507689081834859e-06,1.9926433105e-06,6.35722312894663e-06,1.7202945599999994e-08,3.451092516e-05,2470
2013,size,21.99661966560427,21.766398374922495,1.4662641773038723,15.577260503807937,30.57112185642544,2466
2013,age,10.626315789473685,10.0,6.517946980196159,1.0,24.0,2470
2014,lev,0.4487498027418592,0.4361249521459677,0.2231633319813598,0.052472824131349,0.9526042838542306,2592
2014,sl,0.3486720501840199,0.3293949333275129,0.19290547805372438,0.0,0.8921649964558419,2592
2014,ll,0.08724559796064182,0.043255094751388654,0.10452142790038961,0.0,0.472888437182726,2592
2014,sdr,0.8035674067395434,0.8741251824592127,0.20835367624333986,0.0,1.0,2592
2014,cash,0.00290537353211741,0.0,0.016572765549020842,0.0,0.1412774334171813,2592
2014,ta,57899789240.52042,3162001447.295,727569960662.6158,3083701.24,20609953000000.0,2590
2014,te,8586308515.759539,1722532268.77,61690135812.33925,1981964.37,1537304000000.0,2575
2014,sloan,0.09931749281722778,0.06538527112084346,0.10662815229432261,0.0,0.462388462726829,2592
2014,lloan,0.044922015501692676,0.00162826348610985,0.08078095468948167,0.0,0.4037670359168955,2592
2014,top1,0.3521064023166023,0.3328924999999999,0.15360735510195161,0.021969,0.894086,2590
2014,hhi5_approx,4.189399647828279e-06,1.8159050632499998e-06,6.0253825778943005e-06,1.4708838400000001e-08,3.388869796e-05,2592
2014,size,22.094796678895943,21.87447101695665,1.4734904759599883,14.941641134783383,30.65679523038193,2590
2014,age,11.103780864197532,11.0,6.7496181960298545,1.0,25.0,2592
2015,lev,0.43645799996265777,0.4202347046931976,0.21772080572238037,0.0536378213116342,0.9414095983181268,2811
2015,sl,0.337516476142669,0.3174799109153157,0.18417061861431,0.0,0.8405855544045081,2811
2015,ll,0.08526849847750755,0.0411587297562398,0.10337689660515352,0.0,0.4650335732464787,2811
2015,sdr,0.8044893411567207,0.8737171653797008,0.20662083241248272,0.0,1.0,2811
2015,cash,0.004788499806774564,0.0,0.025582655225248493,0.0,0.2003162485808775,2811
2015,ta,61439331405.26626,3519932760.845,771929083774.2161,8702941.92,22209780000000.0,2806
