source_file,raw_variable,clean_variable,definition,unit,note
STK_LISTEDCOINFOANL.xlsx,CITY,city,城市,,
STK_LISTEDCOINFOANL.xlsx,MAINBUSSINESS,main_bussiness,主营业务,,
STK_LISTEDCOINFOANL.xlsx,LISTINGSTATE,listing_state,上市状态,,
STK_LISTEDCOINFOCHG.xlsx,Symbol,stkcd,股票代码,,
STK_LISTEDCOINFOCHG.xlsx,AnnouncementDate,announcement_date,公告日期,,
STK_LISTEDCOINFOCHG.xlsx,ImplementDate,implement_date,实施日期,,
STK_LISTEDCOINFOCHG.xlsx,ChangedItem,changed_item,变更事项,,
STK_LISTEDCOINFOCHG.xlsx,SecurityID,security_id,证券ID,,
STK_LISTEDCOINFOCHG.xlsx,ListedCoID,listed_co_id,上市公司ID,,
STK_LISTEDCOINFOCHG.xlsx,Value_Before,value_before,变更前值,,
STK_LISTEDCOINFOCHG.xlsx,Value_After,value_after,变更后值,,
常用变量查询（年度）.xlsx,Stkcd,stkcd,股票代码,,
常用变量查询（年度）.xlsx,accper,accper,会计期间,,
常用变量查询（年度）.xlsx,stknme,stknme,股票简称,,
常用变量查询（年度）.xlsx,AnaAttention,ana_attention,分析师关注度（研报数量）,,
常用变量查询（年度）.xlsx,Audittyp,audittyp,审计意见类型,,
常用变量查询（年度）.xlsx,InternationalBig4,international_big4,审计师是否来自国际四大,,
常用变量查询（年度）.xlsx,Ysmvosd,ysmvosd,年个股流通市值,元,
常用变量查询（年度）.xlsx,Ysmvttl,ysmvttl,年个股总市值,元,
常用变量查询（年度）.xlsx,Yretwd,yretwd,考虑现金红利再投资的年个股回报率,%,
常用变量查询（年度）.xlsx,PropertyRightsNature,property_rights_nature,产权性质,,
常用变量查询（年度）.xlsx,Seperation,seperation,两权分离度,%,
常用变量查询（年度）.xlsx,ActualControllerNatureID,actual_controller_nature_id,实际控制人性质编码,,
常用变量查询（年度）.xlsx,OwnershipProportion,ownership_proportion,所有权比例（现金流权）,%,
常用变量查询（年度）.xlsx,ControlProportion,control_proportion,控制权比例（投票权）,%,
常用变量查询（年度）.xlsx,Shrcr1,shrcr1,第一大股东持股比例,%,
常用变量查询（年度）.xlsx,Shrhfd5,shrhfd5,前五大股东持股比例合计,%,
常用变量查询（年度）.xlsx,Shrz,shrz,股权制衡度（第一大股东/第二大股东）,倍,
常用变量查询（年度）.xlsx,FundHoldProportion,fund_hold_proportion,基金持股比例,%,
常用变量查询（年度）.xlsx,QFIIHoldProportion,qfii_hold_proportion,QFII持股比例,%,
常用变量查询（年度）.xlsx,BrokerHoldProportion,broker_hold_proportion,券商持股比例,%,
常用变量查询（年度）.xlsx,BankHoldProportion,bank_hold_proportion,银行持股比例,%,
常用变量查询（年度）.xlsx,NonFinanceHoldProportion,non_finance_hold_proportion,非金融类上市公司持股比例,%,
常用变量查询（年度）.xlsx,InsInvestorProp,ins_investor_prop,机构投资者持股比例合计,%,
常用变量查询（年度）.xlsx,StaffNumber,staff_number,员工人数,人,
